sectionId,carId,path,start_date_time,end_date_time
617_down0,171037,"[[115.93295, 28.685016666666662, '2021-09-08 17:31:15'], [115.93346666666666, 28.685, '2021-09-08 17:31:30'], [115.93353333333332, 28.685016666666662, '2021-09-08 17:31:45'], [115.93408333333332, 28.685066666666668, '2021-09-08 17:32:00'], [115.9348, 28.68508333333333, '2021-09-08 17:32:15'], [115.9348, 28.68508333333333, '2021-09-08 17:32:30'], [115.9348, 28.68508333333333, '2021-09-08 17:32:45'], [115.9348, 28.68508333333333, '2021-09-08 17:33:00'], [115.93528333333332, 28.68515, '2021-09-08 17:33:15'], [115.93423333333334, 28.685133333333333, '2021-09-08 17:33:30'], [115.9332, 28.685133333333333, '2021-09-08 17:33:45'], [115.93281666666668, 28.685133333333333, '2021-09-08 17:34:00'], [115.93281666666668, 28.685133333333333, '2021-09-08 17:34:15'], [115.93225, 28.685116666666666, '2021-09-08 17:34:30'], [115.93166666666669, 28.68515, '2021-09-08 17:34:45']]",2021-09-08 17:31:15,2021-09-08 17:34:45
617_down1,171037,"[[115.93066666666668, 28.685066666666668, '2021-09-08 17:35:15'], [115.92941666666668, 28.685066666666668, '2021-09-08 17:35:30'], [115.92818333333334, 28.6852, '2021-09-08 17:35:45'], [115.9279, 28.68525, '2021-09-08 17:36:00'], [115.92753333333332, 28.685316666666665, '2021-09-08 17:36:15'], [115.92666666666666, 28.685466666666667, '2021-09-08 17:36:30'], [115.92543333333332, 28.6857, '2021-09-08 17:36:45'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:37:00'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:37:15'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:37:30'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:37:45'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:38:00'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:38:15'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:38:30'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:38:45'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:39:00'], [115.92503333333332, 28.685816666666668, '2021-09-08 17:39:15'], [115.9245, 28.686116666666667, '2021-09-08 17:39:30']]",2021-09-08 17:35:15,2021-09-08 17:39:30
617_down2,171037,"[[115.92231666666666, 28.68753333333333, '2021-09-08 17:40:00'], [115.92201666666666, 28.687716666666667, '2021-09-08 17:40:15'], [115.92201666666666, 28.687716666666667, '2021-09-08 17:40:30'], [115.92201666666666, 28.687716666666667, '2021-09-08 17:40:45'], [115.92201666666666, 28.687716666666667, '2021-09-08 17:41:00'], [115.92145, 28.688016666666663, '2021-09-08 17:41:15'], [115.92063333333331, 28.688233333333333, '2021-09-08 17:41:30'], [115.91976666666666, 28.688266666666667, '2021-09-08 17:41:45'], [115.91931666666666, 28.688316666666665, '2021-09-08 17:42:00'], [115.91931666666666, 28.688316666666665, '2021-09-08 17:42:15']]",2021-09-08 17:40:00,2021-09-08 17:42:15
617_down3,171037,"[[115.91698333333332, 28.688316666666665, '2021-09-08 17:43:15'], [115.91533333333334, 28.688316666666665, '2021-09-08 17:43:30'], [115.91358333333334, 28.688316666666665, '2021-09-08 17:43:45'], [115.91228333333332, 28.688333333333333, '2021-09-08 17:44:00'], [115.91178333333332, 28.688366666666667, '2021-09-08 17:44:15'], [115.91151666666669, 28.68838333333333, '2021-09-08 17:44:30'], [115.91151666666669, 28.68838333333333, '2021-09-08 17:44:45'], [115.91151666666669, 28.68838333333333, '2021-09-08 17:45:00']]",2021-09-08 17:43:15,2021-09-08 17:45:00
617_down4,171037,"[[115.9101, 28.68835, '2021-09-08 17:46:00'], [115.90955, 28.688333333333333, '2021-09-08 17:46:15']]",2021-09-08 17:46:00,2021-09-08 17:46:15
617_down5,171037,"[[115.9056, 28.68838333333333, '2021-09-08 17:47:15'], [115.90541666666668, 28.688366666666667, '2021-09-08 17:47:30'], [115.90541666666668, 28.688366666666667, '2021-09-08 17:47:45'], [115.90496666666668, 28.688333333333333, '2021-09-08 17:48:00'], [115.90396666666666, 28.68835, '2021-09-08 17:48:15'], [115.9032, 28.688333333333333, '2021-09-08 17:48:30']]",2021-09-08 17:47:15,2021-09-08 17:48:30
617_down6,171037,"[[115.90078333333334, 28.68825, '2021-09-08 17:49:15'], [115.90025, 28.688216666666666, '2021-09-08 17:49:30']]",2021-09-08 17:49:15,2021-09-08 17:49:30
617_down7,171037,"[[115.89861666666668, 28.688166666666667, '2021-09-08 17:50:00'], [115.89861666666668, 28.688166666666667, '2021-09-08 17:50:15'], [115.89861666666668, 28.688166666666667, '2021-09-08 17:50:30'], [115.89861666666668, 28.688166666666667, '2021-09-08 17:50:45'], [115.89861666666668, 28.688166666666667, '2021-09-08 17:51:00'], [115.89861666666668, 28.688166666666667, '2021-09-08 17:51:15']]",2021-09-08 17:50:00,2021-09-08 17:51:15
617_down8,171037,"[[115.89831666666667, 28.685316666666665, '2021-09-08 17:54:15'], [115.8983, 28.6842, '2021-09-08 17:54:30'], [115.89833333333333, 28.68303333333333, '2021-09-08 17:54:45'], [115.89833333333333, 28.68165, '2021-09-08 17:55:00'], [115.89836666666666, 28.680316666666663, '2021-09-08 17:55:15'], [115.89845, 28.6789, '2021-09-08 17:55:30'], [115.89841666666666, 28.677466666666668, '2021-09-08 17:55:45'], [115.89843333333332, 28.6762, '2021-09-08 17:56:00'], [115.89843333333332, 28.676116666666665, '2021-09-08 17:56:15'], [115.89843333333332, 28.676116666666665, '2021-09-08 17:56:30'], [115.89843333333332, 28.676116666666665, '2021-09-08 17:56:45'], [115.89843333333332, 28.676116666666665, '2021-09-08 17:57:00'], [115.89853333333332, 28.675016666666668, '2021-09-08 17:57:15'], [115.89858333333332, 28.674016666666667, '2021-09-08 17:57:30'], [115.89861666666668, 28.673666666666666, '2021-09-08 17:57:45'], [115.89868333333334, 28.673016666666665, '2021-09-08 17:58:00']]",2021-09-08 17:54:15,2021-09-08 17:58:00
617_down9,171037,"[[115.90031666666668, 28.670116666666665, '2021-09-08 17:59:15']]",2021-09-08 17:59:15,2021-09-08 17:59:15
